Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Female,No,0,Graduate,Yes,7154,11488,338,180,1,Urban,Y
Male,Yes,1,Graduate,No,24870,6148,427,300,1,Rural,Y
Female,Yes,1,Not Graduate,No,5511,12622,264,300,1,Urban,Y
Male,Yes,1,Graduate,No,22204,13616,127,240,1,Urban,Y
Male,No,0,Not Graduate,Yes,1992,5824,305,120,1,Urban,N
Female,Yes,0,Graduate,Yes,13063,8116,331,240,1,Rural,Y
Female,No,0,Not Graduate,No,3284,10598,174,360,0,Semiurban,N
Male,No,2,Not Graduate,No,15842,6483,452,84,1,Rural,Y
Male,Yes,3,Graduate,Yes,24216,9013,318,120,1,Rural,Y
Male,Yes,1,Not Graduate,No,10793,2662,285,240,0,Urban,N
Female,Yes,0,Not Graduate,Yes,24069,13245,480,180,1,Semiurban,Y
Male,Yes,3,Graduate,No,22962,12177,180,180,1,Semiurban,Y
Female,No,0,Graduate,No,15113,14752,125,180,0,Rural,Y
Female,No,2,Not Graduate,No,3627,13458,277,300,1,Rural,Y
Male,Yes,3,Graduate,No,5346,11219,464,84,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,16932,14778,486,360,0,Rural,Y
Female,Yes,2,Graduate,No,14504,14525,97,180,1,Rural,Y
Female,Yes,1,Not Graduate,No,16050,5300,264,180,0,Semiurban,N
Male,Yes,3,Graduate,No,19310,13224,467,84,0,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,17359,9225,84,180,1,Urban,Y
Female,Yes,2,Graduate,Yes,3732,12518,217,360,1,Urban,Y
Male,No,2,Graduate,Yes,9185,8847,482,300,0,Urban,N
Male,No,1,Not Graduate,No,10298,2702,463,300,1,Rural,N
Male,No,3,Graduate,Yes,15366,8025,461,180,1,Urban,Y
Male,No,1,Not Graduate,Yes,20660,3351,466,120,1,Semiurban,Y
Male,No,1,Graduate,No,3742,13430,429,180,0,Rural,N
Male,Yes,1,Not Graduate,Yes,17907,7889,202,120,1,Urban,Y
Female,Yes,3,Not Graduate,No,2201,8961,314,360,0,Urban,N
Male,No,3,Not Graduate,Yes,22845,8886,309,300,0,Urban,Y
Female,Yes,3,Not Graduate,Yes,12368,11393,408,84,1,Rural,Y
Female,No,0,Graduate,Yes,14513,9959,294,180,1,Urban,Y
Male,Yes,0,Not Graduate,Yes,4720,9224,360,240,0,Semiurban,N
Male,Yes,0,Not Graduate,Yes,12838,12489,128,84,0,Urban,Y
Male,No,2,Not Graduate,No,9899,3072,236,120,0,Semiurban,N
Female,Yes,1,Graduate,No,19480,13695,197,84,1,Urban,Y
Male,Yes,1,Graduate,No,17027,5744,332,120,1,Urban,Y
Male,Yes,1,Not Graduate,No,6579,7574,184,120,0,Semiurban,N
Female,No,2,Graduate,Yes,17308,2179,470,120,0,Rural,N
Female,No,3,Graduate,No,6358,13420,81,180,1,Semiurban,Y
Female,No,3,Graduate,No,21334,11443,298,360,0,Urban,Y
Female,Yes,1,Not Graduate,Yes,8687,13726,431,120,0,Semiurban,N
Female,Yes,2,Not Graduate,Yes,7668,14936,450,360,1,Rural,Y
Male,No,0,Graduate,No,8498,3547,94,300,0,Rural,N
Female,No,3,Not Graduate,Yes,5600,14458,276,84,0,Semiurban,N
Male,Yes,3,Graduate,Yes,2301,11439,420,360,0,Urban,N
Male,Yes,1,Graduate,Yes,3206,8734,296,120,1,Semiurban,N
Female,Yes,0,Not Graduate,No,8933,13466,89,180,1,Semiurban,Y
Female,Yes,3,Graduate,No,7444,944,211,84,1,Semiurban,N
Male,Yes,2,Graduate,Yes,14738,2100,293,120,0,Urban,N
Female,No,3,Graduate,Yes,12585,9141,88,180,1,Semiurban,Y
Male,Yes,2,Not Graduate,Yes,2809,10204,361,300,0,Rural,N
Female,Yes,3,Graduate,Yes,6566,10949,335,300,0,Rural,N
Male,Yes,0,Not Graduate,No,12348,14731,236,300,0,Urban,N
Male,Yes,3,Not Graduate,No,3138,11486,55,300,1,Urban,Y
Male,Yes,0,Not Graduate,No,22267,10228,142,84,1,Urban,Y
Female,Yes,1,Not Graduate,No,11943,13620,219,84,0,Urban,N
Female,No,3,Graduate,No,24101,6959,69,240,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,14255,1981,240,180,0,Urban,N
Male,No,3,Not Graduate,Yes,4946,14075,56,120,0,Semiurban,N
Male,Yes,3,Not Graduate,No,8139,11131,69,300,0,Urban,N
Female,Yes,2,Not Graduate,No,5068,6569,118,240,0,Urban,N
Male,No,2,Not Graduate,Yes,12517,8947,328,360,0,Semiurban,N
Male,Yes,1,Graduate,No,1926,8756,223,300,1,Rural,N
Female,Yes,1,Graduate,Yes,8885,11299,199,360,1,Rural,Y
Male,Yes,0,Not Graduate,No,8892,14050,70,120,1,Semiurban,Y
Male,Yes,3,Not Graduate,Yes,23616,9445,470,300,1,Rural,Y
Male,No,1,Graduate,Yes,12031,8110,385,300,0,Semiurban,N
Male,Yes,2,Not Graduate,Yes,2750,4885,252,84,0,Semiurban,N
Male,No,1,Graduate,No,6987,7996,484,84,1,Semiurban,N
Male,No,1,Not Graduate,No,17630,14384,327,84,0,Rural,Y
Male,Yes,1,Graduate,Yes,3388,256,450,360,1,Rural,N
Female,Yes,2,Not Graduate,Yes,24028,1224,129,180,1,Semiurban,Y
Male,No,3,Graduate,No,15296,6910,343,360,1,Urban,Y
Female,No,0,Not Graduate,Yes,4788,4816,115,300,0,Semiurban,N
Female,Yes,0,Not Graduate,No,3087,8200,387,360,1,Semiurban,N
Male,Yes,1,Not Graduate,Yes,20315,9663,376,180,0,Urban,Y
Female,No,0,Not Graduate,No,5372,8445,212,240,0,Urban,N
Female,No,3,Graduate,Yes,9468,10593,106,300,0,Urban,N
Female,Yes,0,Not Graduate,Yes,7434,12338,92,300,1,Semiurban,Y
Female,No,1,Graduate,Yes,13607,1937,136,84,1,Rural,Y
Male,No,1,Not Graduate,No,14614,14623,382,240,0,Urban,Y
Female,Yes,0,Not Graduate,Yes,1969,13975,282,180,0,Urban,N
Female,No,3,Graduate,Yes,2269,6371,99,180,1,Urban,N
Female,No,1,Graduate,Yes,11573,11371,321,180,1,Rural,Y
Female,No,1,Not Graduate,Yes,8134,8065,316,120,0,Urban,N
Male,Yes,0,Not Graduate,No,7636,1290,286,240,1,Urban,N
Male,No,0,Not Graduate,No,3243,244,405,84,0,Urban,N
Male,No,0,Not Graduate,No,19192,10882,76,360,1,Urban,Y
Female,Yes,3,Graduate,No,2251,13200,448,120,1,Urban,Y
Male,Yes,3,Not Graduate,No,7937,4839,376,240,0,Urban,N
Female,No,3,Graduate,No,17537,13061,294,84,0,Urban,Y
Female,Yes,3,Not Graduate,No,2336,4006,234,240,0,Semiurban,N
Male,Yes,1,Graduate,Yes,2386,6534,159,360,0,Rural,N
Male,No,3,Not Graduate,Yes,22430,6122,273,180,1,Semiurban,Y
Female,No,0,Not Graduate,Yes,24298,9203,420,300,0,Semiurban,Y
Female,Yes,2,Not Graduate,No,9856,1706,376,360,0,Semiurban,N
Male,No,3,Graduate,No,3652,3163,210,240,1,Urban,N
Female,Yes,1,Not Graduate,No,21222,12297,114,84,0,Rural,Y
Male,No,1,Graduate,Yes,23823,12510,414,360,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,23033,10163,465,240,0,Rural,Y
Female,No,1,Not Graduate,Yes,2841,11693,93,360,1,Semiurban,Y
Male,Yes,3,Graduate,No,3316,5957,321,300,1,Rural,N
Male,No,3,Graduate,No,2861,2754,143,180,0,Urban,N
Male,No,1,Not Graduate,Yes,3690,2508,148,180,0,Urban,N
Female,No,3,Not Graduate,Yes,16047,10878,401,180,0,Rural,N
Female,No,1,Not Graduate,Yes,24223,7539,408,84,1,Urban,Y
Female,Yes,2,Not Graduate,No,11295,11442,197,360,0,Rural,Y
Male,Yes,0,Graduate,No,16823,2166,250,84,1,Rural,Y
Female,No,3,Graduate,No,17571,498,330,120,0,Urban,N
Female,Yes,1,Not Graduate,No,24394,14232,453,120,0,Rural,Y
Female,Yes,3,Graduate,No,18510,348,150,120,1,Urban,Y
Male,Yes,1,Not Graduate,Yes,15406,761,440,360,1,Semiurban,N
Female,Yes,2,Graduate,Yes,12223,2401,398,300,1,Rural,N
Male,No,3,Not Graduate,No,9796,12506,279,240,0,Semiurban,N
Female,Yes,3,Graduate,Yes,18096,7477,472,84,1,Urban,Y
Male,No,2,Graduate,No,17698,13682,247,360,1,Semiurban,Y
Male,No,2,Not Graduate,No,6337,7940,81,120,1,Rural,Y
Female,Yes,3,Graduate,Yes,13579,1055,488,360,1,Rural,N
Male,No,3,Graduate,No,8342,12183,78,240,1,Urban,Y
Female,No,1,Graduate,Yes,6611,1048,168,300,0,Semiurban,N
Male,No,1,Graduate,Yes,9255,3293,169,240,1,Semiurban,Y
Female,No,1,Graduate,No,18828,8498,232,240,1,Semiurban,Y
Male,No,0,Graduate,Yes,21438,13949,431,300,0,Semiurban,Y
Male,No,0,Not Graduate,Yes,20534,12283,472,360,1,Urban,Y
Female,Yes,3,Graduate,Yes,19895,13491,176,120,1,Urban,Y
Male,No,1,Graduate,Yes,17386,13950,310,240,1,Semiurban,Y
Female,No,3,Not Graduate,Yes,2513,10804,285,240,0,Semiurban,N
Male,No,3,Not Graduate,No,20733,13668,79,120,0,Rural,Y
Female,No,1,Graduate,No,10175,6319,453,120,0,Semiurban,N
Female,Yes,0,Not Graduate,Yes,15423,4552,99,120,1,Urban,Y
Female,No,0,Not Graduate,No,21375,5165,187,84,1,Urban,Y
Female,Yes,0,Not Graduate,No,8735,8200,72,300,1,Semiurban,Y
Female,No,1,Not Graduate,No,24556,4457,473,240,1,Urban,Y
Male,Yes,2,Not Graduate,No,12154,5653,324,180,1,Urban,Y
Male,No,2,Not Graduate,Yes,22359,5949,309,360,0,Semiurban,N
Male,Yes,2,Graduate,Yes,13137,2908,87,300,0,Semiurban,N
Male,Yes,3,Graduate,No,6816,20,347,180,1,Semiurban,N
Female,Yes,1,Not Graduate,Yes,2377,3846,336,300,0,Urban,N
Male,No,2,Not Graduate,Yes,10604,4379,165,300,0,Urban,N
Male,No,3,Graduate,Yes,13005,12345,146,360,1,Urban,Y
Male,Yes,1,Not Graduate,No,23142,7958,197,84,0,Semiurban,Y
Female,Yes,0,Not Graduate,No,7401,761,117,240,1,Urban,N
Male,Yes,0,Not Graduate,No,7892,13380,474,120,1,Urban,Y
Male,No,2,Not Graduate,No,18871,4574,266,300,0,Rural,N
Female,No,0,Not Graduate,No,12691,12903,297,300,1,Semiurban,Y
Female,Yes,1,Graduate,Yes,2016,12873,79,120,1,Rural,Y
Female,Yes,0,Not Graduate,Yes,8596,11534,370,240,1,Semiurban,Y
Female,Yes,3,Not Graduate,Yes,22161,13555,452,84,0,Rural,Y
Female,Yes,0,Not Graduate,No,20071,894,218,240,0,Rural,N
Female,Yes,1,Not Graduate,Yes,1852,9486,424,180,0,Rural,N
Female,Yes,0,Graduate,No,24271,767,170,360,1,Semiurban,Y
Male,No,2,Not Graduate,No,5955,12559,310,360,0,Rural,N
Female,No,3,Graduate,Yes,10800,2083,77,300,0,Rural,N
Male,Yes,3,Graduate,Yes,4683,1483,439,360,0,Rural,N
Female,Yes,1,Not Graduate,Yes,21974,10614,142,120,1,Semiurban,Y
Male,Yes,3,Not Graduate,Yes,1572,12837,82,120,1,Semiurban,Y
Male,Yes,0,Graduate,No,16474,4111,89,180,0,Urban,N
Female,No,1,Graduate,Yes,21294,6861,367,84,0,Semiurban,N
Female,No,2,Not Graduate,No,3226,1964,301,300,0,Urban,N
Male,Yes,3,Graduate,No,20537,8366,50,300,1,Semiurban,Y
Male,No,1,Graduate,Yes,9402,7524,395,84,1,Urban,Y
Male,Yes,0,Graduate,Yes,6168,13108,454,120,0,Semiurban,N
Female,No,0,Not Graduate,No,24702,4036,155,120,0,Semiurban,Y
Male,No,2,Not Graduate,Yes,17348,7748,140,300,0,Semiurban,Y
Female,No,3,Graduate,No,17100,12835,401,84,0,Rural,Y
Female,Yes,2,Not Graduate,No,11289,11798,61,300,0,Urban,Y
Female,Yes,1,Not Graduate,No,11817,3646,146,120,1,Urban,Y
Male,Yes,0,Graduate,Yes,16085,7880,487,240,1,Rural,Y
Male,No,2,Not Graduate,Yes,16788,2804,341,300,0,Rural,N
Female,No,2,Graduate,Yes,10992,10828,299,300,0,Rural,N
Female,No,1,Graduate,Yes,13295,5081,241,300,0,Semiurban,N
Male,Yes,2,Not Graduate,Yes,24245,6439,80,240,1,Semiurban,Y
Female,No,0,Not Graduate,No,16583,9563,425,300,1,Urban,Y
Male,No,1,Not Graduate,No,12568,13024,212,120,0,Urban,N
Female,No,1,Not Graduate,Yes,23610,4078,236,240,1,Semiurban,Y
Female,Yes,3,Not Graduate,No,4844,10766,88,300,1,Urban,Y
Male,No,1,Not Graduate,No,7684,2580,490,240,0,Urban,N
Female,No,0,Not Graduate,Yes,15996,11266,370,240,0,Urban,N
Male,No,2,Graduate,No,4401,14445,418,180,1,Rural,Y
Female,No,3,Not Graduate,No,24590,6638,192,240,0,Urban,Y
Male,No,0,Not Graduate,No,8881,1030,398,120,0,Semiurban,N
Female,Yes,0,Not Graduate,Yes,18231,13088,78,360,1,Urban,Y
Male,No,3,Graduate,Yes,17040,11412,111,360,1,Semiurban,Y
Female,Yes,0,Graduate,No,2390,10231,87,180,0,Rural,N
Female,No,2,Not Graduate,No,17815,7062,125,180,1,Rural,Y
Male,Yes,1,Not Graduate,Yes,12148,14293,406,300,1,Rural,Y
Male,No,2,Not Graduate,No,2670,11120,294,240,0,Urban,N
Female,Yes,3,Not Graduate,No,2125,6697,189,120,1,Semiurban,N
Male,No,0,Graduate,No,5242,12284,240,180,1,Rural,Y
Male,Yes,3,Not Graduate,Yes,7607,7740,199,180,0,Urban,N
Male,Yes,0,Graduate,No,23884,12148,50,240,0,Semiurban,Y
Female,No,0,Graduate,No,7945,13056,295,240,0,Semiurban,N
Female,No,1,Graduate,No,14407,6617,489,360,1,Urban,Y
Male,No,1,Not Graduate,Yes,23791,8940,256,360,0,Rural,Y
Male,Yes,0,Not Graduate,Yes,5078,8208,378,240,0,Rural,N
Male,No,3,Not Graduate,Yes,7091,6562,165,120,1,Semiurban,Y
Female,No,1,Graduate,Yes,10797,62,320,120,1,Urban,N
Female,No,0,Graduate,No,12693,2770,248,300,1,Rural,N
Female,No,0,Not Graduate,No,23939,1909,348,180,0,Urban,N
Male,No,3,Graduate,Yes,7789,8960,316,360,0,Semiurban,N
Female,No,0,Not Graduate,Yes,6284,2718,440,120,1,Rural,N
Male,Yes,3,Not Graduate,No,23093,5279,79,84,1,Urban,Y
Male,No,3,Not Graduate,No,2214,5147,144,84,0,Rural,N
Male,Yes,0,Not Graduate,Yes,18087,869,73,180,0,Rural,N
Female,Yes,2,Graduate,Yes,21493,7698,60,84,1,Urban,Y
Male,No,1,Not Graduate,Yes,15753,4182,402,300,0,Rural,N
Female,Yes,2,Not Graduate,Yes,22993,12936,238,360,1,Urban,Y
Female,Yes,1,Graduate,No,20527,1378,169,84,1,Urban,Y
Male,Yes,0,Not Graduate,No,9445,12083,123,360,0,Urban,N
Male,No,3,Graduate,No,24234,3871,194,120,0,Semiurban,Y
Male,Yes,0,Graduate,No,17786,7780,197,180,0,Urban,Y
Female,No,0,Graduate,No,6502,230,457,240,1,Urban,N
Female,Yes,0,Graduate,No,13045,8651,264,84,1,Semiurban,Y
Female,No,0,Not Graduate,No,18488,11630,499,180,0,Rural,Y
Male,No,0,Not Graduate,No,15007,10422,393,240,0,Urban,N
Male,Yes,3,Not Graduate,No,11265,4023,313,84,0,Urban,N
Male,Yes,1,Not Graduate,No,12201,3177,395,300,1,Semiurban,N
Male,Yes,3,Not Graduate,Yes,24154,11796,149,300,0,Semiurban,Y
Female,Yes,1,Not Graduate,Yes,7849,8691,380,120,0,Rural,N
Female,No,2,Not Graduate,Yes,17755,1364,433,180,0,Rural,N
Male,Yes,3,Graduate,Yes,20996,8222,160,180,0,Urban,Y
Male,Yes,0,Not Graduate,Yes,8940,9982,370,300,0,Urban,N
Female,Yes,0,Graduate,Yes,16136,10312,325,240,1,Urban,Y
Female,No,1,Not Graduate,Yes,10371,9668,134,360,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,14185,4507,432,240,0,Urban,N
Male,Yes,2,Not Graduate,No,12352,6233,453,240,1,Urban,Y
Male,No,2,Not Graduate,No,11932,13004,133,180,0,Semiurban,Y
Male,No,3,Not Graduate,No,7912,5106,278,180,1,Rural,N
Male,Yes,0,Not Graduate,No,12675,1595,293,120,0,Rural,N
Female,Yes,1,Not Graduate,No,12014,1972,370,84,1,Urban,N
Female,Yes,0,Graduate,Yes,21019,4321,360,360,1,Rural,Y
Male,Yes,2,Not Graduate,Yes,22247,6869,320,120,0,Semiurban,N
Male,Yes,1,Not Graduate,No,3004,90,198,360,1,Urban,N
Female,No,1,Graduate,Yes,23024,4210,172,300,0,Rural,Y
Male,Yes,1,Graduate,No,10555,12172,235,84,0,Semiurban,N
Male,Yes,1,Graduate,Yes,16260,4428,135,180,1,Urban,Y
Male,No,3,Graduate,Yes,14691,2510,430,240,0,Semiurban,N
Female,Yes,2,Graduate,Yes,16615,7729,99,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,17332,9758,104,300,0,Semiurban,Y
Male,Yes,1,Graduate,Yes,10509,13331,391,120,1,Urban,Y
Female,No,0,Not Graduate,No,17829,9872,318,300,1,Urban,Y
Male,No,0,Not Graduate,Yes,5386,5554,103,300,0,Semiurban,N
Female,No,2,Not Graduate,Yes,24813,12919,442,120,1,Semiurban,Y
Male,No,3,Not Graduate,No,19825,10610,85,240,0,Urban,Y
Male,Yes,1,Graduate,No,15449,9455,363,120,1,Semiurban,Y
Female,No,0,Not Graduate,No,14690,8318,467,240,0,Semiurban,N
Female,Yes,3,Graduate,Yes,15479,6645,155,180,1,Urban,Y
Male,No,0,Not Graduate,Yes,7868,11000,385,120,1,Rural,Y
Male,No,1,Not Graduate,Yes,12606,12067,194,180,1,Semiurban,Y
Male,Yes,2,Graduate,No,23067,175,227,120,1,Rural,Y
Female,Yes,1,Graduate,No,15450,6882,338,360,1,Rural,Y
Female,Yes,0,Graduate,No,22487,4047,426,84,1,Urban,Y
Male,No,2,Graduate,No,3433,5666,155,300,1,Urban,N
Female,Yes,0,Graduate,No,9049,6229,410,180,0,Semiurban,N
Male,Yes,1,Graduate,No,18607,7357,487,180,1,Rural,Y
Male,Yes,3,Not Graduate,Yes,22426,14475,283,84,1,Rural,Y
Female,No,2,Not Graduate,No,5355,10761,297,240,0,Urban,N
Male,No,0,Not Graduate,Yes,19742,6377,153,300,0,Rural,Y
Female,No,3,Not Graduate,No,18246,14096,77,300,0,Semiurban,Y
Female,No,1,Not Graduate,No,14974,3698,481,240,0,Rural,N
Female,Yes,2,Graduate,No,23779,10983,454,300,1,Urban,Y
Female,Yes,2,Graduate,Yes,13508,6922,391,84,0,Urban,N
Male,Yes,2,Not Graduate,Yes,12157,6098,485,360,0,Rural,N
Male,Yes,2,Not Graduate,No,17138,3263,143,240,0,Semiurban,N
Male,Yes,0,Graduate,Yes,4887,11948,111,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,6097,3656,53,360,1,Urban,N
Female,No,3,Not Graduate,Yes,6977,9020,220,360,1,Urban,N
Male,Yes,1,Graduate,Yes,15945,5929,338,120,0,Urban,N
Female,No,3,Graduate,Yes,24549,319,274,180,1,Rural,Y
Male,Yes,2,Graduate,No,11476,1655,188,120,0,Semiurban,N
Female,No,0,Graduate,No,2808,1876,130,84,0,Rural,N
Male,No,1,Graduate,No,12572,3431,415,360,0,Rural,N
Male,Yes,1,Graduate,Yes,4059,2114,219,180,1,Rural,N
Female,No,3,Graduate,Yes,24238,1190,230,180,0,Rural,N
Male,Yes,3,Graduate,No,22838,3142,351,120,1,Rural,Y
Female,No,1,Not Graduate,Yes,13024,6212,420,180,0,Semiurban,N
Male,No,1,Not Graduate,Yes,17231,13071,445,300,0,Rural,Y
Female,No,3,Not Graduate,Yes,11993,7984,360,180,0,Urban,N
Male,Yes,3,Not Graduate,No,4462,1617,447,180,0,Semiurban,N
Female,No,2,Not Graduate,Yes,13843,7773,138,120,1,Semiurban,Y
Female,No,0,Not Graduate,Yes,18706,9738,138,360,0,Rural,Y
Male,No,3,Graduate,No,17980,10608,364,300,1,Semiurban,Y
Female,Yes,1,Graduate,No,6438,3549,312,240,1,Semiurban,N
Female,Yes,0,Graduate,No,12489,9221,61,84,0,Semiurban,N
Male,No,2,Graduate,No,12647,626,329,240,0,Semiurban,N
Female,Yes,3,Not Graduate,No,24542,9553,335,180,0,Rural,Y
Male,Yes,2,Graduate,No,10449,3804,368,360,0,Rural,N
Female,Yes,1,Not Graduate,No,20225,7639,81,300,0,Rural,Y
Male,No,1,Not Graduate,No,2919,7206,204,120,1,Urban,N
Female,No,1,Not Graduate,Yes,21818,6231,476,180,1,Semiurban,Y
Female,No,3,Graduate,Yes,17681,5747,177,84,1,Rural,Y
Male,Yes,1,Graduate,No,19528,13165,438,84,0,Semiurban,Y
Male,Yes,2,Graduate,No,12757,6528,428,300,1,Semiurban,Y
Female,No,1,Not Graduate,Yes,20917,8132,299,120,1,Urban,Y
Female,Yes,0,Not Graduate,Yes,19697,13618,301,180,0,Rural,Y
Male,No,0,Graduate,No,5731,14696,441,300,1,Urban,Y
Female,Yes,3,Graduate,No,13410,8925,339,300,0,Rural,N
Male,Yes,2,Not Graduate,No,24151,8020,143,84,0,Semiurban,Y
Female,No,3,Not Graduate,Yes,6666,11583,234,300,1,Rural,Y
Male,Yes,1,Not Graduate,Yes,14716,12625,114,300,1,Semiurban,Y
Male,Yes,1,Not Graduate,Yes,18142,3701,443,120,0,Urban,N
Female,No,2,Not Graduate,Yes,8616,1841,90,120,0,Rural,N
Male,No,0,Graduate,Yes,2913,5196,401,120,1,Semiurban,N
Female,Yes,3,Not Graduate,Yes,6315,13430,171,84,0,Urban,N
Male,Yes,1,Graduate,Yes,7092,6172,350,360,1,Rural,N
Male,Yes,0,Not Graduate,Yes,8407,12502,343,180,0,Rural,N
Female,Yes,1,Graduate,Yes,7687,4968,66,300,0,Rural,N
Male,Yes,1,Not Graduate,Yes,19386,14972,119,360,1,Rural,Y
Female,Yes,0,Not Graduate,No,16118,4910,114,120,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,10723,33,153,240,1,Semiurban,N
Male,Yes,3,Graduate,No,10843,10170,260,300,1,Urban,Y
Female,Yes,1,Not Graduate,No,3156,14364,265,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,9254,8623,168,180,0,Rural,N
Female,Yes,0,Not Graduate,No,17736,14483,162,180,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,9240,1041,128,120,1,Semiurban,N
Male,Yes,0,Not Graduate,No,22429,14722,133,300,0,Urban,Y
Male,Yes,3,Graduate,No,13206,12886,79,180,0,Semiurban,Y
Female,Yes,1,Graduate,Yes,15269,9266,121,360,0,Rural,Y
Female,Yes,3,Graduate,Yes,4988,3308,232,84,1,Rural,N
Female,Yes,1,Graduate,No,17716,10911,253,120,0,Semiurban,Y
Female,No,1,Graduate,Yes,9829,9397,367,300,0,Semiurban,N
Female,No,0,Not Graduate,No,13894,4860,404,300,1,Semiurban,Y
Female,Yes,1,Graduate,Yes,5364,251,290,180,0,Semiurban,N
Female,Yes,2,Not Graduate,Yes,22577,12447,372,240,0,Semiurban,Y
Male,No,1,Graduate,Yes,5905,1413,262,180,0,Urban,N
Male,No,2,Not Graduate,No,13258,11676,134,120,1,Urban,Y
Female,Yes,1,Not Graduate,No,20996,14952,428,180,1,Semiurban,Y
Female,Yes,1,Graduate,No,21776,6506,157,300,1,Urban,Y
Female,Yes,2,Not Graduate,No,3855,4728,422,360,1,Urban,N
Female,Yes,3,Graduate,Yes,5440,12541,474,120,1,Urban,Y
Female,No,1,Not Graduate,No,11800,12169,356,84,0,Urban,N
Female,No,1,Graduate,No,12212,4906,366,180,1,Urban,N
Female,Yes,3,Graduate,Yes,16891,12462,189,180,0,Urban,Y
Male,No,1,Graduate,No,9212,4267,297,240,1,Semiurban,N
Female,Yes,3,Graduate,Yes,10009,440,330,300,0,Semiurban,N
Female,Yes,1,Not Graduate,No,1687,12002,61,120,1,Urban,Y
Male,No,0,Not Graduate,No,9062,8208,481,120,0,Semiurban,N
Female,Yes,3,Not Graduate,Yes,15893,8150,439,240,1,Rural,Y
Male,Yes,2,Not Graduate,No,8776,2980,213,180,0,Urban,N
Male,No,0,Graduate,Yes,24354,4459,319,360,1,Urban,Y
Female,Yes,2,Not Graduate,Yes,11710,1828,302,360,1,Urban,N
Male,Yes,3,Not Graduate,No,4950,11602,444,120,1,Urban,Y
Male,No,1,Not Graduate,Yes,17487,1853,397,84,1,Rural,Y
Male,Yes,3,Not Graduate,Yes,17199,493,158,84,1,Semiurban,Y
Female,Yes,3,Graduate,Yes,3100,8970,119,84,1,Semiurban,Y
Female,No,3,Not Graduate,Yes,14747,10008,351,240,0,Semiurban,N
Male,Yes,3,Graduate,Yes,17154,4696,241,84,0,Semiurban,N
Male,Yes,2,Graduate,Yes,4568,6596,234,120,1,Semiurban,N
Female,No,0,Not Graduate,No,18435,13356,144,300,1,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,16156,13782,208,240,0,Semiurban,Y
Female,No,2,Graduate,No,23646,11645,341,84,1,Urban,Y
Male,Yes,0,Graduate,Yes,21554,171,340,240,0,Urban,N
Female,Yes,0,Not Graduate,No,23282,97,346,180,1,Rural,Y
Male,No,2,Graduate,Yes,6091,1176,197,180,1,Urban,N
Male,Yes,0,Graduate,No,5563,11849,350,120,1,Rural,Y
Female,Yes,3,Not Graduate,Yes,8749,14371,241,300,1,Urban,Y
Female,Yes,3,Not Graduate,Yes,15604,10801,232,120,0,Rural,N
Male,Yes,1,Not Graduate,No,17657,9532,458,84,1,Rural,Y
Male,No,1,Not Graduate,Yes,17785,8072,388,360,1,Rural,Y
Female,Yes,2,Graduate,Yes,15503,7029,85,180,1,Semiurban,Y
Female,No,1,Not Graduate,No,4997,4755,173,300,1,Semiurban,N
Male,No,3,Not Graduate,Yes,15969,8307,109,84,0,Rural,Y
Male,No,1,Graduate,No,10511,7788,116,300,0,Semiurban,N
Male,Yes,0,Not Graduate,Yes,2561,5585,497,84,1,Semiurban,N
Male,Yes,0,Graduate,No,24792,2881,419,300,0,Rural,N
Female,Yes,1,Not Graduate,No,24695,9458,127,84,0,Urban,Y
Male,No,3,Not Graduate,No,8819,9691,346,300,1,Semiurban,Y
Male,No,2,Not Graduate,Yes,7853,9143,461,180,0,Semiurban,N
Female,Yes,1,Not Graduate,No,3611,9631,120,360,0,Urban,N
Female,No,3,Not Graduate,No,21277,1818,240,84,0,Urban,N
Male,Yes,0,Not Graduate,No,13156,6089,103,84,1,Urban,Y
Female,Yes,3,Graduate,Yes,13113,7482,82,120,0,Rural,N
Male,No,1,Not Graduate,Yes,15899,8937,379,360,0,Semiurban,N
Female,No,1,Graduate,Yes,8529,12268,242,84,1,Urban,Y
Male,Yes,1,Not Graduate,Yes,24490,6075,471,84,0,Semiurban,Y
Male,No,0,Graduate,Yes,13532,8938,284,360,0,Urban,N
Female,Yes,3,Not Graduate,No,19772,13451,203,180,1,Rural,Y
Female,Yes,0,Graduate,No,10448,2683,91,240,1,Urban,Y
Female,No,0,Graduate,Yes,12075,10470,381,180,1,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,10553,14518,230,120,1,Rural,Y
Male,Yes,3,Graduate,No,15831,2675,373,300,0,Semiurban,N
Male,Yes,0,Not Graduate,No,7663,13724,374,240,0,Rural,N
